patch_path,patch_name,sample_id,patch_row,patch_col,timepoint,concentration,label
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d00h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d00h00m_3_pre,1,2,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d00h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d00h00m_3_pre,2,0,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d00h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d00h00m_3_pre,2,1,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d00h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d00h00m_3_pre,2,2,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d00h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d00h00m_4_pre,0,0,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d00h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d00h00m_4_pre,0,1,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d00h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d00h00m_4_pre,0,2,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d00h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d00h00m_4_pre,1,0,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d00h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d00h00m_4_pre,1,1,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d00h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d00h00m_4_pre,1,2,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d00h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d00h00m_4_pre,2,0,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d00h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d00h00m_4_pre,2,1,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d00h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d00h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d00h00m_4_pre,2,2,before,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_1_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_1_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_1_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_1_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_1_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_1_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_1_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_1_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_1_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_1_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_1_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_1_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_1_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_1_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_1_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_1_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_1_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_1_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_1_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_2_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_2_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_2_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_2_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_2_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_2_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_2_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_2_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_2_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_2_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_2_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_2_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_2_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_2_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_2_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_2_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_2_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_2_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_2_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_3_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_3_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_3_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_3_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_3_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_3_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_3_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_3_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_3_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_3_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_3_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_3_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_3_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_3_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d04h00m_4_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d04h00m_4_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d04h00m_4_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d04h00m_4_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d04h00m_4_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d04h00m_4_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d04h00m_4_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d04h00m_4_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d04h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d04h00m_4_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_1_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_1_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_1_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_1_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_1_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_1_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_1_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_1_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_1_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_1_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_1_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_1_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_1_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_1_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_1_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_1_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_1_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_1_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_1_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_2_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_2_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_2_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_2_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_2_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_2_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_2_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_2_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_2_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_2_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_2_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_2_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_2_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_2_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_2_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_2_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_2_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_2_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_2_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_3_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_3_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_3_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_3_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_3_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_3_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_3_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_3_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_3_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_3_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_3_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_3_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_3_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_3_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_3_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_3_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_3_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_3_pre,2,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_4_pre_r0c0.png,A172_Phase_A7_1_00d08h00m_4_pre,0,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_4_pre_r0c1.png,A172_Phase_A7_1_00d08h00m_4_pre,0,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_4_pre_r0c2.png,A172_Phase_A7_1_00d08h00m_4_pre,0,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_4_pre_r1c0.png,A172_Phase_A7_1_00d08h00m_4_pre,1,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_4_pre_r1c1.png,A172_Phase_A7_1_00d08h00m_4_pre,1,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_4_pre_r1c2.png,A172_Phase_A7_1_00d08h00m_4_pre,1,2,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_4_pre_r2c0.png,A172_Phase_A7_1_00d08h00m_4_pre,2,0,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_4_pre_r2c1.png,A172_Phase_A7_1_00d08h00m_4_pre,2,1,after,,
/Users/E.M.A./Documents/Claude/Projects/Capstone Project/data/patches/A172_Phase_A7_1_00d08h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_4_pre_r2c2.png,A172_Phase_A7_1_00d08h00m_4_pre,2,2,after,,
